№ п/п	answer
1	Источник выбросов – это источник, в котором осуществляется образование загрязняющих веществ или смеси таких веществ в процессе хозяйственной и иной деятельности. Источник выделения – это объект, в котором происходит образование загрязняющих веществ (организованный источник, неорганизованный источник).
2	Этапы разработки проекта начиная с получения в работу: получение в работу, разработка технического задания, разработка проектной документации, согласование проектной документации, утверждение проектной документации.
3	Состав тома ПДВ: титульный лист, содержание, пояснительная записка, перечень источников выбросов, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов, результаты расчетов приземных концентраций, результаты расчетов рассеивания выбросов
4	Номера источников выбросов присваиваются предприятиям при разработке проекта впервые, повторно.
5	Газоочистные установки (ГОУ) — это сооружения, оборудование и технические устройства, предназначенные для очистки и (или) обезвреживания выбросов загрязняющих веществ в атмосферный воздух. Примерами ГОУ являются пылегазоулавливающие установки, скрубберы, циклоны, фильтры, адсорберы, катализаторы и другие. Для ГОУ разрабатываются следующие документы: проектная документация, паспорт ГОУ, декларация о соответствии, сертификат соответствия, эксплуатационная документация. В проект добавляется раздел «Газоочистные установки».
6	На ситуационных картах должны быть отображены границы населенного пункта, границы функциональных зон, границы территорий, подверженных риску возникновения чрезвычайных ситуаций природного и техногенного характера, границы зон возможного затопления, границы зон возможного опасного химического заражения, границы зон возможного катастрофического затопления, границы зон возможного радиоактивного загрязнения, границы зон возможного биологического загрязнения, границы зон возможного возникновения лесных пожаров, границы зон возможного подтопления, границы зон возможного затопления паводковыми водами и при прорыве гидротехнических сооружений, границы зон возможного затопления при разрушении гидротехнических сооружений, границы зон возможного затопления при разрушении ограждающих дамб, границы зон возможного затопления при разрушении ограждающих дамб хвостохранилищ, границы зон возможного затопления при разрушении ограждающих дамб накопителей жидких отходов, границы зон возможного затопления при разрушении ограждающих дамб накопителей промышленных стоков, границы зон возможного затопления при разрушении ограждающих дамб накопителей стоков мелиоративных систем, границы зон возможного затопления при разрушении ограждающих дамб накопителей ливневых стоков, границы зон возможного затопления при разрушении ограждающих дамб накопителей шламонакопителей, границы зон возможного затопления при разрушении ограждающих дамб накопителей нефтешламов, границы зон возможного затопления при разрушении ограждающих дамб накопителей отходов, границы зон возможного затопления при разрушении ограждающих дамб накопителей твердых отходов, границы зон возможного затопления при разрушении ограждающих дамб накопителей отходов очистных сооружений, границы зон возможного затопления при разрушении ограждающих дамб накопителей отходов водоподготовки, границы зон возможного затопления при разрушении ограждающих дамб накопителей отходов водозаборных сооружений, границы зон возможного затопления при разрушении ограждающих дамб накопителей отходов гидротехнических сооружений, границы зон возможного затопления при разрушении ограждающих дамб накопителей отходов предприятий, границы зон возможного затопления при разрушении ограждающих дамб накопителей отходов сельскохозяйственных предприятий, границы зон возможного затопления при разрушении ограждающих дамб накопителей отходов промышленных предприятий, границы зон возможного затопления при разрушении ограждающих дамб накопителей отходов предприятий теплоэнергетики, границы зон возможного затопления при разрушении ограждающих дамб накопителей отходов предприятий атомной энергетики, границы зон возможного затопления при разрушении ограждающих дамб накопителей отходов предприятий химической промышленности, границы зон возможного затопления при разрушении ограждающих дамб накопителей отходов предприятий нефтехимической промышленности, границы зон возможного затопления при разрушении ограждающих дамб накопителей отходов предприятий газовой промышленности, границы зон возможного затопления при разрушении ограждающих дамб накопителей отходов предприятий металлургической промышленности, границы зон возможного затопления при разрушении ограждающих дамб накопителей отходов предприятий угольной промышленности, границы зон возможного затопления при разрушении ограждающих дамб накопителей отходов предприятий деревообрабатывающей промышленности, границы зон возможного затопления при разрушении ограждающих дамб накопителей отходов предприятий целлюлозно-бумажной промышленности, границы зон возможного затопления при разрушении ограждающих дамб накопителей отходов предприятий пищевой промышленности, границы зон возможного затопления при разрушении ограждающих дамб накопителей отходов предприятий легкой промышленности, границы зон возможного затопления при разрушении ограждающих дамб накопителей отходов предприятий промышленности строительных материалов, границы зон возможного затопления при разрушении ограждающих дамб накопителей отходов предприятий машиностроения, границы зон возможного затопления при разрушении ограждающих дамб накопителей отходов предприятий оборонной промышленности, границы зон возможного затопления при разрушении ограждающих дамб накопителей отходов предприятий транспорта, границы зон возможного затопления при разрушении ограждающих дамб накопителей отходов предприятий связи, границы зон возможного затопления при разрушении ограждающих дамб накопителей отходов предприятий сельского хозяйства, границы зон возможного затопления при разрушении ограждающих дамб накопителей отходов предприятий торговли и общественного питания, границы зон возможного затопления при разрушении ограждающих дамб накопителей отходов предприятий жилищно-коммунального хозяйства, границы зон возможного затопления при разрушении ограждающих дамб накопителей отходов предприятий здравоохранения, границы зон возможного затопления при разрушении ограждающих дамб накопителей отходов предприятий культуры, границы зон возможного затопления при разрушении ограждающих дамб накопителей отходов предприятий физической культуры и спорта, границы зон возможного затопления при разрушении ограждающих дамб накопителей отходов предприятий социального обеспечения, границы зон возможного затопления при разрушении ограждающих дамб накопителей отходов предприятий образования, границы зон возможного затопления при разрушении ограждающих дамб накопителей отходов предприятий других отраслей экономики, границы зон возможного затопления при разрушении ограждающих дамб накопителей отходов предприятий, не относящихся к какой-либо отрасли экономики, границы зон возможного затопления при разрушении ограждающих дамб накопителей отходов объектов, не относящихся к какой-либо отрасли экономики.
7	ОБУВ — ориентировочно безопасный уровень воздействия, временный норматив, который устанавливается на период, предшествующий проектированию производства. ПДК — предельно допустимая концентрация, норматив, устанавливаемый для каждого загрязняющего вещества. ПДК бывают среднесуточные (ПДКсс) и максимально разовые (ПДКмр).
8	Превышение предельно допустимой концентрации в проекте ПДВ — это превышение фактического выброса над установленным нормативом предельно допустимого выброса.
9	Перечень источников выбросов загрязняющих веществ от сельскохозяйственного предприятия может включать в себя неорганизованные источники выбросов загрязняющих веществ, такие как погрузочно-разгрузочные работы, работа двигателей автомобилей, перегрузка сыпучих материалов и другие.
10	Проект ПДВ проходит этапы согласования с территориальным органом федерального органа исполнительной власти в области охраны окружающей среды, с территориальным органом федерального органа исполнительной власти в области санитарно-эпидемиологического надзора, с территориальным органом федерального органа исполнительной власти в области промышленной безопасности.
